,Provider.ID,Hospital.Name,Address,City,State,ZIP.Code,County.Name,Phone.Number,HCAHPS.Measure.ID,HCAHPS.Question,HCAHPS.Answer.Description,HCAHPS.Answer.Percent,Number.of.Completed.Surveys,Survey.Response.Rate.Percent,Footnote,Measure.Start.Date,Measure.End.Date,,Grade
57571,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",14,Between 100 and 299,35%,,10/1/12,9/30/13,,
57578,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",70,Between 100 and 299,35%,,10/1/12,9/30/13,Pain Management,0.876666667
57579,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",7,Between 100 and 299,35%,,10/1/12,9/30/13,,
57580,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",23,Between 100 and 299,35%,,10/1/12,9/30/13,,
57566,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",80,Between 100 and 299,35%,,10/1/12,9/30/13,Cleanliness,0.926666667
57567,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",2,Between 100 and 299,35%,,10/1/12,9/30/13,,
57568,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",18,Between 100 and 299,35%,,10/1/12,9/30/13,,
57575,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",74,Between 100 and 299,35%,,10/1/12,9/30/13,Quickness of Aid,0.886666667
57576,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",8,Between 100 and 299,35%,,10/1/12,9/30/13,,
57577,221303,ATHOL MEMORIAL HOSPITAL,2033 MAIN STREET,ATHOL,MA,1331,WORCESTER,9782493511,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",18,Between 100 and 299,35%,,10/1/12,9/30/13,,
57552,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",76,Between 100 and 299,41%,,10/1/12,9/30/13,,0.89
57553,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",9,Between 100 and 299,41%,,10/1/12,9/30/13,,
57554,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",15,Between 100 and 299,41%,,10/1/12,9/30/13,,
57560,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",59,Between 100 and 299,41%,,10/1/12,9/30/13,,0.846666667
57561,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",5,Between 100 and 299,41%,,10/1/12,9/30/13,,
57562,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",36,Between 100 and 299,41%,,10/1/12,9/30/13,,
57543,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",83,Between 100 and 299,41%,,10/1/12,9/30/13,,0.933333333
57544,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",3,Between 100 and 299,41%,,10/1/12,9/30/13,,
57545,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",14,Between 100 and 299,41%,,10/1/12,9/30/13,,
57540,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",90,Between 100 and 299,41%,,10/1/12,9/30/13,,0.963333333
57541,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",1,Between 100 and 299,41%,,10/1/12,9/30/13,,
57542,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",9,Between 100 and 299,41%,,10/1/12,9/30/13,,
57549,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",82,Between 100 and 299,41%,,10/1/12,9/30/13,,0.926666667
57550,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",4,Between 100 and 299,41%,,10/1/12,9/30/13,,
57551,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",14,Between 100 and 299,41%,,10/1/12,9/30/13,,
57537,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",77,Between 100 and 299,41%,,10/1/12,9/30/13,,0.913333333
57538,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",3,Between 100 and 299,41%,,10/1/12,9/30/13,,
57539,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",20,Between 100 and 299,41%,,10/1/12,9/30/13,,
57546,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",84,Between 100 and 299,41%,,10/1/12,9/30/13,,0.936666667
57547,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",3,Between 100 and 299,41%,,10/1/12,9/30/13,,
57548,221302,FAIRVIEW HOSPITAL,29 LEWIS AVENUE,GREAT BARRINGTON,MA,1230,BERKSHIRE,4135280790,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",13,Between 100 and 299,41%,,10/1/12,9/30/13,,
57523,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",70,Between 100 and 299,29%,,10/1/12,9/30/13,,0.843333333
57524,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",17,Between 100 and 299,29%,,10/1/12,9/30/13,,
57525,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",13,Between 100 and 299,29%,,10/1/12,9/30/13,,
57531,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",68,Between 100 and 299,29%,,10/1/12,9/30/13,,0.873333333
57532,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",6,Between 100 and 299,29%,,10/1/12,9/30/13,,
57533,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",26,Between 100 and 299,29%,,10/1/12,9/30/13,,
57514,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",82,Between 100 and 299,29%,,10/1/12,9/30/13,,0.926666667
57515,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",4,Between 100 and 299,29%,,10/1/12,9/30/13,,
57516,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",14,Between 100 and 299,29%,,10/1/12,9/30/13,,
57511,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",84,Between 100 and 299,29%,,10/1/12,9/30/13,,0.936666667
57512,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",3,Between 100 and 299,29%,,10/1/12,9/30/13,,
57513,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",13,Between 100 and 299,29%,,10/1/12,9/30/13,,
57520,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",78,Between 100 and 299,29%,,10/1/12,9/30/13,,0.913333333
57521,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",4,Between 100 and 299,29%,,10/1/12,9/30/13,,
57522,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",18,Between 100 and 299,29%,,10/1/12,9/30/13,,
57508,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",79,Between 100 and 299,29%,,10/1/12,9/30/13,,0.916666667
57509,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",4,Between 100 and 299,29%,,10/1/12,9/30/13,,
57510,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",17,Between 100 and 299,29%,,10/1/12,9/30/13,,
57517,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",79,Between 100 and 299,29%,,10/1/12,9/30/13,,0.916666667
57518,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",4,Between 100 and 299,29%,,10/1/12,9/30/13,,
57519,221300,MARTHA'S VINEYARD HOSPITAL INC,ONE HOSPITAL ROAD PO BOX 1477,OAK BLUFFS,MA,2557,DUKES,5086930410,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",17,Between 100 and 299,29%,,10/1/12,9/30/13,,
57494,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",60,Fewer than 100,23%,6,10/1/12,9/30/13,6,0.816666667
57495,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",15,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57496,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",25,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57502,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",54,Fewer than 100,23%,6,10/1/12,9/30/13,6,0.823333333
57503,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",7,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57504,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",39,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57485,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_2_A_P,"Patients who reported that their doctors ""Always"" communicated well","Doctors ""always"" communicated well",83,Fewer than 100,23%,6,10/1/12,9/30/13,6,0.933333333
57486,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_2_SN_P,"Patients who reported that their doctors ""Sometimes"" or ""Never"" communicated well","Doctors ""sometimes"" or ""never"" communicated well",3,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57487,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",14,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57482,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",82,Fewer than 100,23%,6,10/1/12,9/30/13,6,0.933333333
57483,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",2,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57484,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",16,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57491,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_4_A_P,"Patients who reported that their pain was ""Always"" well controlled","Pain was ""always"" well controlled",72,Fewer than 100,23%,6,10/1/12,9/30/13,6,0.886666667
57492,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_4_SN_P,"Patients who reported that their pain was ""Sometimes"" or ""Never"" well controlled","Pain was ""sometimes"" or ""never"" well controlled",6,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57493,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_4_U_P,"Patients who reported that their pain was ""Usually"" well controlled","Pain was ""usually"" well controlled",22,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57479,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_CLEAN_HSP_A_P,"Patients who reported that their room and bathroom were ""Always"" clean","Room was ""always"" clean",62,Fewer than 100,23%,6,10/1/12,9/30/13,6,0.823333333
57480,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_CLEAN_HSP_SN_P,"Patients who reported that their room and bathroom were ""Sometimes"" or ""Never"" clean","Room was ""sometimes"" or ""never"" clean",15,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57481,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_CLEAN_HSP_U_P,"Patients who reported that their room and bathroom were ""Usually"" clean","Room was ""usually"" clean",23,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57488,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",79,Fewer than 100,23%,6,10/1/12,9/30/13,6,0.913333333
57489,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",5,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57490,220177,NANTUCKET COTTAGE HOSPITAL,57 PROSPECT STREET,NANTUCKET,MA,2554,NANTUCKET,5082281200,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",16,Fewer than 100,23%,6,10/1/12,9/30/13,6,
57465,220176,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,1608,WORCESTER,5083635000,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",62,300 or more,34%,11,10/1/12,9/30/13,11,0.81
57466,220176,ST VINCENT HOSPITAL,123 SUMMER STREET,WORCESTER,MA,1608,WORCESTER,5083635000,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",19,300 or more,34%,11,10/1/12,9/30/13,11,
